iter	Logloss
0	0.5840449941
1	0.5052213288
2	0.4491712353
3	0.4053381573
4	0.3713403867
5	0.3318246398
6	0.3051467792
7	0.2840131037
8	0.2691401674
9	0.2557081243
10	0.2420392208
11	0.2283594416
12	0.2214539109
13	0.2136931898
14	0.205779435
15	0.1985210356
16	0.1935889254
17	0.1895698466
18	0.1854200205
19	0.1797142735
20	0.1757679078
21	0.1702976245
22	0.1673133501
23	0.1630813613
24	0.1580334211
25	0.1547810258
26	0.1519912972
27	0.1465603569
28	0.1432543404
29	0.1408069466
30	0.1374288854
31	0.1352950916
32	0.1326602538
33	0.1301206832
34	0.1285031327
35	0.1255595533
36	0.1231373506
37	0.1210830896
38	0.1192835851
39	0.1168653271
40	0.1150701462
41	0.1130927809
42	0.1112806697
43	0.1087381127
44	0.1066928407
45	0.1047613558
46	0.1032009923
47	0.1020019739
48	0.1011118606
49	0.09959500767
50	0.09789804312
51	0.09644956505
52	0.09444613954
53	0.09255983674
54	0.09079881351
55	0.08949422418
56	0.08856496839
57	0.08725413886
58	0.08588068441
59	0.08528018346
60	0.08447140821
61	0.08370821618
62	0.0827003635
63	0.08186954695
64	0.08058465885
65	0.0795648235
66	0.07839423517
67	0.0779404162
68	0.07674428017
69	0.07547658235
70	0.07495136502
71	0.07376582992
72	0.07317171775
73	0.07209957609
74	0.07115275858
75	0.07071279435
76	0.07039203291
77	0.06925868524
78	0.06816533431
79	0.06740275144
80	0.0670895674
81	0.06645844486
82	0.06602354709
83	0.06503212696
84	0.06424696791
85	0.06368350704
86	0.06299895646
87	0.06203697673
88	0.06116383449
89	0.06064886522
90	0.05987123528
91	0.05933069974
92	0.05812192729
93	0.05778841058
94	0.057095224
95	0.05676958925
96	0.05600685409
97	0.05530291802
98	0.05458923162
99	0.0543136151
100	0.05374687069
101	0.05274324501
102	0.05225400544
103	0.05163694566
104	0.05101658005
105	0.05039704647
106	0.0498842687
107	0.04936319294
108	0.04916277833
109	0.04864061424
110	0.04821151837
111	0.0477034059
112	0.04714537178
113	0.04647590169
114	0.04611138824
115	0.0454233164
116	0.04483860911
117	0.04444356694
118	0.04409433456
119	0.04355316014
120	0.043180995
121	0.04281975023
122	0.04229009047
123	0.04196920646
124	0.04147702879
125	0.04085479484
126	0.04004529156
127	0.0392930236
128	0.03915184638
129	0.03890241272
130	0.03860942391
131	0.03847669325
132	0.03806997297
133	0.03772686937
134	0.03759092203
135	0.0372878746
136	0.03686899707
137	0.03674947113
138	0.03626573631
139	0.03595724728
140	0.03541421937
141	0.03465588949
142	0.03424906522
143	0.03388196282
144	0.03359865005
